timestamp,latitude,longitude,altitude,easting,northing,zone_number,zone_letter
1743804537858908928,-12.017706855563222,-77.05500259786528,142.4642199752633,276264.78951428074,8670652.690430406,18,L
1743804537999868608,-12.017706778561458,-77.05500252524253,142.46393604110924,276264.7973604382,8670652.699009256,18,L
1743804538058003936,-12.017706679875717,-77.05500242885743,142.46365678701935,276264.80777677253,8670652.710006634,18,L
1743804538178060352,-12.017706618301004,-77.0550020628371,142.41250871920442,276264.8475914851,8670652.717117324,18,L
1743804538280800064,-12.017706468807097,-77.05500192219039,142.4121278780173,276264.8627866403,8670652.733772319,18,L
1743804538382528256,-12.017706294276634,-77.05500176087854,142.41175961358365,276264.8802118708,8670652.753214264,18,L
1743804538473433472,-12.017706097854258,-77.05500157750838,142.4114742747576,276264.90002151416,8670652.775096359,18,L
1743804538577005280,-12.017705881213496,-77.05500137398369,142.41080918434687,276264.9220096037,8670652.799231889,18,L
1743804538672871840,-12.017705699725532,-77.05500110907641,142.4091947144136,276264.950712322,8670652.819527935,18,L
1743804538768705120,-12.017705453064378,-77.05500085696723,142.40872781169688,276264.97796724364,8670652.847024566,18,L
1743804538875974496,-12.017705185813963,-77.05500059417871,142.40811795948937,276265.0063683002,8670652.876807954,18,L
1743804539011961184,-12.017704898164368,-77.05500031314561,142.4069379591664,276265.03673962737,8670652.90886323,18,L
1743804539073421696,-12.01770458675562,-77.05500001251441,142.405965982171,276265.0692258682,8670652.943563249,18,L
1743804539180508256,-12.017704256559371,-77.05499936370477,142.35182846516508,276265.1396189168,8670652.980625313,18,L
1743804539285803392,-12.017703920726001,-77.05499901644215,142.35111737520762,276265.17716389196,8670653.018065706,18,L
1743804539387386560,-12.017703578613428,-77.0549986624095,142.35007328801012,276265.2154410491,8670653.056206362,18,L
1743804539463177376,-12.01770322622424,-77.05499829999924,142.34986263395862,276265.2546221671,8670653.095490878,18,L
1743804539567146208,-12.017702862310092,-77.05499793584687,142.34911346160862,276265.2939834993,8670653.136051975,18,L
1743804539678901024,-12.017702366467072,-77.05499773087504,142.34852638677367,276265.31589840923,8670653.191080626,18,L
1743804539789626496,-12.01770197655895,-77.05499737370562,142.3476658895046,276265.3544776996,8670653.234512107,18,L
1743804539877029056,-12.017701580290877,-77.05499700206583,142.34644324378766,276265.3946277912,8670653.278659051,18,L
1743804539996926400,-12.017701176211151,-77.05499662473787,142.34537601641418,276265.4353909644,8670653.323674934,18,L
1743804540083179520,-12.017700764600578,-77.05499623644612,142.34467312557607,276265.4773420476,8670653.369532976,18,L
1743804540210522880,-12.017700346151807,-77.05499584472065,142.34403871613617,276265.5196614647,8670653.416150417,18,L
1743804540275833056,-12.017699949433378,-77.05499541938654,142.31571143718824,276265.5656593767,8670653.460390883,18,L
1743804540377284384,-12.017699523734212,-77.05499503275098,142.31547437323053,276265.6074184292,8670653.50780639,18,L
1743804540480113408,-12.017699111872377,-77.05499465627155,142.31495689793695,276265.64808274666,8670653.553682622,18,L
1743804540580655648,-12.017698721909714,-77.0549943081324,142.31442141671323,276265.68567845,8670653.59711279,18,L
1743804540723494720,-12.017698357293956,-77.05499399654632,142.31379818226807,276265.7193138776,8670653.637708738,18,L
1743804540810613312,-12.017698131497184,-77.05499364256679,142.31108650169855,276265.75768139475,8670653.662979752,18,L
1743804540870041120,-12.017697826931615,-77.05499337476668,142.310315218082,276265.78659745073,8670653.696895901,18,L
1743804540964736736,-12.017697521653036,-77.05499310058079,142.30949984009388,276265.81620843464,8670653.730896138,18,L
1743804541078440480,-12.017697202261992,-77.05499281092644,142.30872900484877,276265.847492522,8670653.766470414,18,L
1743804541185190112,-12.017696868380096,-77.05499251303658,142.3083555408984,276265.8796616115,8670653.803654714,18,L
1743804541286580096,-12.01769678127529,-77.05499207299545,142.28218478843027,276265.92751729896,8670653.813650377,18,L
